image_file,coordinates,IScrosswalk,light_class
PTLR_Crosswalk/training set/02/1150.jpg,"[0.587609375, 0.6098986111111111, 0.7726531249999999, 0.9854444444444445]",1.0,0.0
PTLR_Crosswalk/training set/02/2950.jpg,"[0.61462890625, 0.5691416666666667, 0.8381546875, 0.9941777777777777]",1.0,0.0
PTLR_Crosswalk/training set/02/1350.jpg,"[0.60971640625, 0.604075, 0.785753125, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/1500.jpg,"[0.90201953125, 0.6142652777777778, 0.9437773437500001, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/1650.jpg,"[0.6465609375, 0.5589513888888888, 0.85944296875, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/50.jpg,"[0.5851531249999999, 0.6084430555555556, 0.775928125, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/1800.jpg,"[0.49918125, 0.5851527777777777, 0.67439921875, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/250.jpg,"[0.6244539062500001, 0.6404652777777777, 0.79803515625, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/2000.jpg,"[0.6449234374999999, 0.6215430555555556, 0.81277265625, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/400.jpg,"[0.62609140625, 0.743813888888889, 0.7358078124999999, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/2150.jpg,"[0.60889765625, 0.5531291666666667, 0.80786015625, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/550.jpg,"[0.598253125, 0.6652111111111111, 0.7431765625, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/2350.jpg,"[0.62772890625, 0.5938861111111111, 0.8217796875, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/750.jpg,"[0.5573140624999999, 0.6419208333333333, 0.70878828125, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/2500.jpg,"[0.6490171874999999, 0.5414847222222222, 0.8643562499999999, 1.0]",1.0,1.0
PTLR_Crosswalk/training set/02/900.jpg,"[0.56877734375, 0.6521111111111111, 0.7227078125, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/2700.jpg,"[0.6670304687499999, 0.5633194444444444, 0.84061171875, 1.0]",1.0,1.0
PTLR_Crosswalk/training set/02/1050.jpg,"[0.61381015625, 0.6259097222222222, 0.79394140625, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/2850.jpg,"[0.62363515625, 0.577875, 0.84306796875, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/1200.jpg,"[0.60971640625, 0.6186319444444445, 0.775109375, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/02/3000.jpg,"[0.61053515625, 0.5822416666666667, 0.80786015625, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/1400.jpg,"[0.6449234374999999, 0.6128097222222222, 0.8307859375, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/1550.jpg,"[0.2674671875, 0.5065500000000001, 0.45332968749999997, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/1700.jpg,"[0.66539296875, 0.8471611111111111, 0.7268015625, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/100.jpg,"[0.587609375, 0.5953416666666667, 0.7399015624999999, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/1850.jpg,"[0.47707421875, 0.36535694444444444, 0.75545859375, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/02/300.jpg,"[0.6350984375000001, 0.6652111111111111, 0.75300234375, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/2050.jpg,"[0.60807890625, 0.43085833333333334, 0.8856437500000001, 0.9927222222222222]",1.0,0.0
PTLR_Crosswalk/training set/02/450.jpg,"[0.57860234375, 0.6783111111111111, 0.70469453125, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/2200.jpg,"[0.61462890625, 0.5589513888888888, 0.8144101562499999, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/600.jpg,"[0.60807890625, 0.6739444444444445, 0.7358078124999999, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/2400.jpg,"[0.6318234375, 0.577875, 0.8144101562499999, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/800.jpg,"[0.6162664062500001, 0.7205236111111112, 0.7227078125, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/2600.jpg,"[0.773471875, 0.7409027777777778, 0.84061171875, 1.0]",1.0,1.0
PTLR_Crosswalk/training set/02/950.jpg,"[0.5507640625, 0.6259097222222222, 0.7243453125, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/2750.jpg,"[0.6506546875, 0.6011638888888889, 0.779203125, 0.9985444444444445]",1.0,1.0
PTLR_Crosswalk/training set/02/1100.jpg,"[0.588428125, 0.6215430555555556, 0.74890859375, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/2900.jpg,"[0.60971640625, 0.5735083333333333, 0.8324234374999999, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/1250.jpg,"[0.600709375, 0.6244541666666668, 0.76528359375, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/1450.jpg,"[0.89137578125, 0.7365361111111112, 0.9298578125000001, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/1600.jpg,"[0.48280546874999997, 0.590975, 0.6473796875, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/1750.jpg,"[0.71288203125, 0.5123722222222222, 0.9282203125, 1.0]",1.0,2.0
PTLR_Crosswalk/training set/02/200.jpg,"[0.61872265625, 0.6273652777777777, 0.75791484375, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/1950.jpg,"[0.600709375, 0.5895194444444445, 0.777565625, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/350.jpg,"[0.60726015625, 0.6186319444444445, 0.76937734375, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/2100.jpg,"[0.61544765625, 0.516738888888889, 0.81522890625, 1.0]",1.0,0.0
PTLR_Crosswalk/training set/02/500.jpg,"[0.586790625, 0.6855888888888889, 0.70551328125, 1.0]",1.0,0.0
